t,el1,el2
216,1.1994207,1.2423949
217,1.0581288,1.1318429
218,0.89155406,0.9989052
219,0.72150993,0.8780156
220,0.5380864,0.744891
221,0.3340376,0.607003
222,0.121416815,0.46070603
223,-0.10613904,0.31594306
224,-0.35356107,0.15407407
225,-0.61955553,-0.0027708418
226,-0.87702125,-0.18958682
227,-1.1136627,-0.33744326
228,-1.3558964,-0.50335544
229,-1.5914339,-0.69156414
230,-1.7985566,-0.86563855
231,-1.9660074,-1.0313382
232,-2.0657985,-1.1993494
233,-2.07393,-1.3542356
234,-1.7916807,-1.5018675
235,-0.95670766,-1.591369
236,-0.29166725,-1.64961
237,0.11923151,-1.6054436
238,0.4819244,-1.4217452
239,0.80444944,-0.96234995
240,1.1084777,-0.3767591
241,1.3790507,0.13895757
242,1.5751098,0.5432326
243,1.6760156,0.8916342
244,1.705525,1.189355
245,1.6600101,1.3905559
246,1.5567087,1.4754887
247,1.4445547,1.4854811
248,1.3183047,1.4436741
249,1.1764426,1.357357
250,1.0242025,1.2535365
251,0.87335193,1.1340274
252,0.69572085,1.0103625
253,0.52016187,0.87873405
254,0.31163102,0.7418198
255,0.09976577,0.6108308
256,-0.13641597,0.4618983
257,-0.423651,0.30859783
258,-0.63840204,0.1581216
259,-0.9084923,-0.009259365
260,-1.1591158,-0.17459947
261,-1.4059951,-0.34988093
262,-1.6392663,-0.52233016
263,-1.8448591,-0.7032005
264,-2.0112915,-0.874196
265,-2.0979357,-1.0444158
266,-2.0715096,-1.2105218
267,-1.7058092,-1.3648959
268,-0.8390309,-1.4927398
269,-0.24620257,-1.5898428
270,0.15391254,-1.6415825
271,0.5000124,-1.6005173
272,0.8226999,-1.4136766
273,1.1091441,-0.97659564
274,1.3776327,-0.3763315
275,1.5684869,0.13917005
276,1.6674964,0.53594583
277,1.6688108,0.89366066
278,1.5994636,1.1940302
279,1.5157743,1.4010527
280,1.3941058,1.4815037
281,1.2612439,1.4801363
282,1.1244718,1.4418434
283,0.97808504,1.3459183
284,0.8176571,1.2563148
285,0.63101894,1.1418384
286,0.451767,0.9967718
287,0.25344276,0.8785791
288,0.033080924,0.7108465
289,-0.21150793,0.6049973
290,-0.45044196,0.461438
291,-0.7080086,0.3088618
292,-0.97446895,0.14412005
293,-1.2291771,-0.007635698
294,-1.4879113,-0.16718547
295,-1.7078624,-0.33654606
296,-1.9049995,-0.50959235
297,-2.0678747,-0.69103485
298,-2.1473498,-0.8594577
299,-2.104462,-1.0373592
300,-1.6747147,-1.2015718
301,-0.7965278,-1.365739
302,-0.23565778,-1.4890645
303,0.15376925,-1.5824414
304,0.5047014,-1.628441
305,0.8271774,-1.5885767
306,1.1221744,-1.4016975
307,1.3871545,-0.9639536
308,1.5728022,-0.35973975
309,1.6625279,0.1527933
310,1.6545875,0.55708754
311,1.5900377,0.8914216
312,1.4899497,1.1732733
313,1.3713831,1.3933927
314,1.2297407,1.4672589
315,1.090142,1.4625653
316,0.9284302,1.426676
317,0.76985025,1.3414512
318,0.5882111,1.2476032
319,0.41143504,1.1115854
320,0.20845293,1.0104268
321,-0.02136874,0.8725883
322,-0.26627868,0.743088
323,-0.50836253,0.59789485
324,-0.77024984,0.45027092
325,-1.031348,0.30756596
326,-1.293394,0.12954766
327,-1.5356947,-0.022842005
328,-1.7624847,-0.18275388
329,-1.9568561,-0.36199257
330,-2.10215,-0.52946633
331,-2.1619923,-0.70495284
332,-2.0628147,-0.88066685
333,-1.51025,-1.0819807
334,-0.6423887,-1.2300632
335,-0.14542998,-1.3612075
336,0.22500339,-1.4859105
337,0.54991674,-1.5807533
338,0.86941814,-1.6205266
339,1.1589289,-1.5671815
340,1.4157737,-1.366933
341,1.5610558,-0.8870592
342,1.6276575,-0.2849673
343,1.6030992,0.21421915
344,1.5346091,0.6114767
345,1.4277115,0.9611768
346,1.3003498,1.2455271
347,1.162205,1.4229864
348,1.0250819,1.4938372
349,0.85674083,1.4960307
350,0.707325,1.450412
351,0.5284004,1.3596963
352,0.33581138,1.2475953
353,0.12630478,1.1325063
354,-0.10889942,0.9995704
355,-0.34706643,0.8868978
356,-0.5983316,0.7475421
357,-0.8679678,0.605637
358,-1.1258764,0.45747784
359,-1.3802474,0.30392832
360,-1.6374115,0.14363337
361,-1.8443656,-0.021642728
362,-2.0410993,-0.19817334
363,-2.1528838,-0.3719647
364,-2.1725965,-0.5432767
365,-2.0224278,-0.728648
366,-1.225386,-0.9023285
367,-0.4953804,-1.0679404
368,-0.041510694,-1.2233878
369,0.31696445,-1.3729012
370,0.6484956,-1.4867306
371,0.96457934,-1.5709971
372,1.2505976,-1.6156584
373,1.4680251,-1.542512
374,1.6030904,-1.3227979
375,1.6283872,-0.78909105
376,1.5882304,-0.19221278
377,1.5066639,0.28014734
378,1.3954254,0.6695132
379,1.2576339,1.0035267
380,1.1232839,1.2765701
381,0.9743871,1.4483702
382,0.8070567,1.4883065
383,0.6434551,1.5004572
384,0.4565391,1.4435333
385,0.24382858,1.3459059
386,0.03764198,1.2458638
387,-0.2014176,1.1288283
388,-0.44120806,0.9940843
389,-0.68578404,0.8661597
390,-0.94607383,0.7192877
391,-1.2023194,0.59178644
392,-1.4563327,0.45011175
393,-1.6907992,0.28204077
394,-1.8925662,0.14137667
395,-2.0716386,-0.0283632
396,-2.1684942,-0.20365256
397,-2.134217,-0.36825842
398,-1.7985227,-0.5536892
399,-0.92039436,-0.719048
400,-0.31598502,-0.9070466
401,0.08548324,-1.0717337
402,0.4171197,-1.2351352
403,0.7538207,-1.3760633
404,1.0574367,-1.5094725
405,1.3106366,-1.5934848
406,1.5090748,-1.6141928
407,1.6149985,-1.552134
408,1.6163225,-1.3126546
409,1.5704926,-0.79525644
410,1.4627854,-0.18869056
411,1.3389467,0.2747957
412,1.2081714,0.67573
413,1.0748119,1.0172204
414,0.90908146,1.2900488
415,0.7566022,1.4588447
416,0.5775153,1.4814979
417,0.3913701,1.5000505
418,0.17915091,1.45257
419,-0.06419289,1.3689405
420,-0.26375967,1.2005428
421,-0.5102862,1.1445824
422,-0.7699223,1.010505
423,-1.0403389,0.8777476
424,-1.2856418,0.7379141
425,-1.5240306,0.59519166
426,-1.755777,0.44931528
427,-1.9568803,0.2820766
428,-2.1108801,0.121730834
429,-2.183732,-0.04865426
430,-2.1214693,-0.2248082
431,-1.6356499,-0.39095038
432,-0.76834565,-0.5681006
433,-0.22280838,-0.7436887
434,0.15692021,-0.9251967
435,0.4820013,-1.1040378
436,0.8192243,-1.2404591
437,1.1262773,-1.3805869
438,1.3441011,-1.5006621
439,1.5560517,-1.5752972
440,1.636455,-1.5891054
441,1.62017,-1.502466
442,1.561657,-1.221573
443,1.4464769,-0.66081864
444,1.3151616,-0.068960205
445,1.177336,0.38142696
446,1.02821,0.75945646
447,0.8676467,1.0899135
448,0.70203745,1.3504739
449,0.52282333,1.4956232
450,0.33581096,1.5329132
451,0.1209064,1.5139483
452,-0.11348375,1.4315854
453,-0.3441745,1.3754379
454,-0.5752054,1.2620156
455,-0.8511763,1.1369385
456,-1.0983442,1.0037727
457,-1.3526256,0.83736694
458,-1.601793,0.73180246
459,-1.8088164,0.58119756
460,-2.0019894,0.43763897
461,-2.121651,0.2793667
462,-2.1428246,0.11459971
463,-1.9877465,-0.055566315
464,-1.262439,-0.23062848
465,-0.512648,-0.41487718
466,-0.056669094,-0.5929967
467,0.3028609,-0.787574
468,0.61132085,-0.9364904
469,0.9462069,-1.1054794
470,1.2250639,-1.2631093
471,1.4337829,-1.4051063
472,1.5751904,-1.5186813
473,1.6242172,-1.5807627
474,1.5941612,-1.5805053
475,1.5082982,-1.4859898
476,1.3953687,-1.184676
477,1.1804371,-0.60979223
478,1.1106663,-0.0288035
479,0.96544147,0.42501965
480,0.80140257,0.8141976
481,0.63092285,1.1330307
482,0.43351197,1.3776686
483,0.24247289,1.5445555
484,0.032986656,1.5690365
485,-0.19307159,1.5671505
486,-0.43155307,1.4949492
487,-0.68794405,1.4055545
488,-0.94826823,1.2411735
489,-1.2218643,1.1406375
490,-1.4504882,1.0342311
491,-1.679992,0.90042466
492,-1.8915592,0.7580898
493,-2.0535898,0.576949
494,-2.1827543,0.4349905
495,-2.143167,0.28430042
496,-1.85115,0.13263561
497,-1.0129288,-0.035601355
498,-0.34743777,-0.2173602
499,0.068697356,-0.40330225
500,0.42232,-0.6034455
501,0.7525867,-0.7534764
502,1.0573547,-0.93248796
503,1.3279357,-1.0989774
504,1.5384039,-1.2591038
505,1.6447421,-1.4057336
506,1.5833935,-1.5062463
507,1.6101831,-1.5705632
508,1.5173405,-1.5793923
509,1.399361,-1.5026699
510,1.2674279,-1.2337822
511,1.1018208,-0.6814692
512,0.9509064,-0.07719885
513,0.7819264,0.38871163
514,0.5925003,0.7804749
515,0.41676295,1.126863
516,0.21358159,1.3941648
517,-0.017259425,1.5671155
518,-0.25410032,1.6233839
519,-0.4991775,1.6223531
520,-0.74233186,1.5652739
521,-0.99633896,1.4818022
522,-1.2376097,1.3684381
523,-1.4872,1.2423482
524,-1.7095548,1.1108056
525,-1.902402,0.97871745
526,-2.0601656,0.8160433
527,-2.1266742,0.6762389
528,-2.0759075,0.5214907
529,-1.6129475,0.36786595
530,-0.74441695,0.17089331
531,-0.20687415,0.0037408588
532,0.18282057,-0.1566535
533,0.5109722,-0.34158638
534,0.8488074,-0.5140323
535,1.1544688,-0.6997974
536,1.3988974,-0.90403134
537,1.5642296,-1.0548122
538,1.6311628,-1.209508
539,1.6164998,-1.3549281
540,1.5610969,-1.4762303
541,1.466872,-1.5622236
542,1.3395225,-1.5767196
543,1.1963596,-1.5006737
544,1.0556467,-1.2724377
545,0.88520896,-0.73317254
