t,el1,el2
217,1.7730095,1.5810174
218,1.6273122,1.4908835
219,1.5507364,1.4173644
220,1.4321836,1.3265392
221,1.3213122,1.2399896
222,1.1796478,1.131262
223,1.0663042,1.0264235
224,0.9390038,0.9168908
225,0.8005312,0.8137123
226,0.6822462,0.7124082
227,0.5533981,0.6087407
228,0.4255899,0.49941975
229,0.2953113,0.38921276
230,0.17320131,0.2865351
231,0.058318228,0.18320723
232,-0.08025577,0.06941744
233,-0.20590876,-0.032151442
234,-0.33132538,-0.14526208
235,-0.4401656,-0.22133817
236,-0.5575736,-0.30625924
237,-0.6652833,-0.3955217
238,-0.773972,-0.49407873
239,-0.87271833,-0.5742382
240,-0.9824245,-0.6596339
241,-1.0643983,-0.73260105
242,-1.1300325,-0.802566
243,-1.1882133,-0.86039853
244,-1.2353675,-0.9071209
245,-1.27409,-0.93445694
246,-1.2519947,-0.9416846
247,-1.2205151,-0.9301587
248,-1.1522875,-0.8909952
249,-1.0506792,-0.80921143
250,-0.8951039,-0.70689404
251,-0.7027967,-0.56405973
252,-0.47225225,-0.40201607
253,-0.23190922,-0.2080773
254,0.04271553,-0.019990213
255,0.33025345,0.17631416
256,0.55468756,0.3800925
257,0.8441252,0.5703258
258,1.115165,0.7610272
259,1.3322026,0.92659754
260,1.5504439,1.0817639
261,1.742377,1.2337855
262,1.9082854,1.3510629
263,2.0683625,1.4900163
264,2.2010381,1.5787482
265,2.3196192,1.6771154
266,2.419493,1.7527655
267,2.5030146,1.8172632
268,2.5657167,1.8689818
269,2.6201835,1.9149407
270,2.6520307,1.9595165
271,2.6781893,1.9672403
272,2.686904,2.007239
273,2.681458,2.0127754
274,2.6615155,2.0139112
275,2.631586,1.9953816
276,2.5831974,1.9799145
277,2.5369933,1.9535639
278,2.4712744,1.8911867
279,2.3908446,1.8535935
280,2.3081102,1.8092276
281,2.2147493,1.7519804
282,2.1176887,1.6871865
283,2.012243,1.6137695
284,1.9052444,1.5417744
285,1.7951543,1.4619087
286,1.6301363,1.3752848
287,1.530142,1.2895776
288,1.4095258,1.1867168
289,1.2753781,1.0785627
290,1.1382772,1.000365
291,1.0153544,0.90210503
292,0.8746126,0.8030217
293,0.7450919,0.69674003
294,0.6183947,0.5921364
295,0.4825488,0.4958017
296,0.35797057,0.3954778
297,0.23143877,0.28954077
298,0.06862243,0.19072738
299,-0.014699383,0.10025232
300,-0.13912864,0.0042814645
301,-0.25584185,-0.08497708
302,-0.37335333,-0.17031382
303,-0.47469875,-0.25545904
304,-0.5714038,-0.34883565
305,-0.6612245,-0.42093956
306,-0.7389133,-0.48450786
307,-0.80272824,-0.5518216
308,-0.86000055,-0.5973716
309,-0.892593,-0.62649035
310,-0.91091716,-0.6497608
311,-0.8909964,-0.64864266
312,-0.85039264,-0.63642883
313,-0.76356953,-0.58525705
314,-0.6596388,-0.5113208
315,-0.49364936,-0.3876607
316,-0.30274194,-0.26690054
317,-0.08981196,-0.15504059
318,0.14640586,0.028457953
319,0.390532,0.23917206
320,0.6592181,0.42813015
321,0.91724664,0.61871845
322,1.1619445,0.8028394
323,1.4002928,0.98465157
324,1.5988802,1.1610725
325,1.8499583,1.3162313
326,2.0316315,1.4468887
327,2.2041435,1.5730859
328,2.3517141,1.6947938
329,2.4763255,1.7936993
330,2.580718,1.8892232
331,2.6945658,1.9607035
332,2.7760277,2.0221734
333,2.8395507,2.0849118
334,2.8936996,2.12859
335,2.925841,2.164209
336,2.9564996,2.186146
337,2.9650307,2.2003603
338,2.9610455,2.187985
339,2.9417408,2.1879928
340,2.9143007,2.1819103
341,2.8774657,2.1592462
342,2.8229709,2.1272109
343,2.7616048,2.0755742
344,2.6765501,2.0429766
345,2.6068127,1.98073
346,2.5234175,1.9302793
347,2.4148567,1.8672959
348,2.3123972,1.7984875
349,2.2087686,1.7186259
350,2.0928395,1.6415977
351,1.9727566,1.555939
352,1.8422784,1.4641122
353,1.7227134,1.3777146
354,1.5929928,1.2958039
355,1.4547191,1.2043071
356,1.3184788,1.1048414
357,1.1870987,0.99722713
358,1.0434325,0.8987929
359,0.9179448,0.7698236
360,0.74054855,0.68081266
361,0.6440049,0.591653
362,0.5103845,0.48664078
363,0.38075674,0.37555972
364,0.24883209,0.2750314
365,0.12238511,0.17502266
366,0.0028315,0.092042804
367,-0.11262344,-0.02739333
368,-0.22338879,-0.09159622
369,-0.32774436,-0.17683105
370,-0.43461493,-0.25375074
371,-0.5160126,-0.3253478
372,-0.590214,-0.38313928
373,-0.65521616,-0.4337439
374,-0.6951488,-0.4646546
375,-0.72486126,-0.5007794
376,-0.7288275,-0.5101472
377,-0.6980373,-0.5029757
378,-0.6123364,-0.47114724
379,-0.5482799,-0.39942536
380,-0.37523487,-0.33098665
381,-0.22000402,-0.20102605
382,0.0003974412,-0.05185847
383,0.23120391,0.0989767
384,0.46604103,0.28951848
385,0.73950934,0.48546883
386,0.99046695,0.68591344
387,1.2483653,0.8633319
388,1.492319,1.0579023
389,1.726882,1.2352245
390,1.9131974,1.3972507
391,2.1336823,1.5416445
392,2.3085303,1.6861595
393,2.476853,1.8099564
394,2.620317,1.9069029
395,2.7350984,2.0120888
396,2.841883,2.0952094
397,2.9307148,2.1683726
398,2.9987864,2.225406
399,3.053704,2.2673268
400,-1.7033876,-1.2789477
401,-1.7943051,-1.3452863
402,-1.880527,-1.4148338
403,-1.9634979,-1.4678428
404,-2.0086322,-1.51269
405,-2.06349,-1.5449706
406,-2.0524125,-1.5602509
407,-2.0478308,-1.56091
408,-1.9813472,-1.5371011
409,-1.9006894,-1.4704505
410,-1.7786078,-1.3952773
411,-1.6217431,-1.2888323
412,-1.4811655,-1.1559395
413,-1.206598,-0.9810388
414,-0.95392764,-0.81262577
415,-0.6962371,-0.59847844
416,-0.4299584,-0.38970044
417,-0.1834172,-0.20119655
418,0.06127361,1.5932015e-05
419,0.29094842,0.17967762
420,0.50086254,0.35174856
421,0.68806183,0.50824475
422,0.8581409,0.65515554
423,0.99646604,0.78535783
424,1.1277605,0.89934325
425,1.2417754,0.9971046
426,1.3334608,1.0758331
427,1.4129592,1.1365658
428,1.486109,1.1970353
429,1.52449,1.2409655
430,1.5538565,1.2780575
431,1.5747719,1.2950115
432,1.5718313,1.2994446
433,1.5765043,1.3077701
434,1.5547426,1.2928137
435,1.5227188,1.2720839
436,1.4967147,1.2433939
437,1.4322337,1.1975828
438,1.3851894,1.1627728
439,1.3026375,1.1096138
440,1.2433667,1.0511153
441,1.1568953,0.98785675
442,1.067288,0.90953124
443,0.9658208,0.835717
444,0.85712624,0.7446998
445,0.74925905,0.65983176
446,0.6442431,0.57421017
447,0.52276164,0.4839077
